Player,Average speed
Alucard,1759
Abscrazy,1592
Rushil_Y,1592
.Nick,1587
Hargun uwu <3,1578
!zayn,1548
EpSiLoN-| S[A]MyY^,1544
Arya^_^,1532
Asphyx.,1522
Sharath.,1519
jocse.,1491
GSPIN,1438
