Player,Region,Average speed
Kassio,Europe,1550
MaRc_By_8.,Europe,1550
swoopin,Europe,1550
ams.,Saudi Arabia,1550
ghostfire,Europe,1549
Ne0n,Europe,1549
Stokelyy,North America,1549
oath,North America,1549
ExoTiiK,Europe,1548
JosherSquasher,North America,1548
Vive,Oceania,1548
sour,Oceania,1548
!zayn,India,1548
ClaruS,Indonesia,1548
Kaydop,Europe,1547
VKSailen,Europe,1547
Rizzo,North America,1547
Lunar,Oceania,1547
Poofy,Singapore,1547
Envoy.,Europe,1546
FairyPeak,Europe,1546
gReazymeister,Europe,1546
NOLY,Europe,1546
emre,Europe,1545
Flare,South America,1545
Ninja23509,South America,1545
Forky,North America,1544
Mile.,North America,1544
EpSiLoN-| S[A]MyY^,India,1544
fasi,South America,1543
crr,Europe,1542
Allushin,North America,1542
alraz,North America,1542
ALLUSHIN,North America,1542
Tox,Europe,1541
Kronovi,North America,1541
caz.,North America,1541
kirii,North America,1541
Shea,North America,1541
brunovisqui,South America,1541
pan,South America,1541
FreaKii.,Europe,1540
Ridz,Indonesia,1540
totothdt,Europe,1539
Harps,North America,1539
Outcast,North America,1539
.shadow,North America,1539
B2seL,Saudi Arabia,1539
Claw-Z,Singapore,1539
Tahz,Europe,1538
sosa,North America,1538
Mile,North America,1538
ApparentlyJack,Europe,1537
Memory,North America,1537
indigo,North America,1537
Sea-Bass,North America,1537
Mittaen,Europe,1536
Breezi,Europe,1535
zol,North America,1535
turinturo,North America,1535
Kaizen,Singapore,1535
Radosin,Europe,1534
pure,North America,1534
xpurt,North America,1534
Arch.moe,Japan,1534
Catalysm,Europe,1533
Dead-Monster,Europe,1533
Fairy Peak!,Europe,1533
Smw.,Saudi Arabia,1533
Venom,Saudi Arabia,1533
EleXiT.,Europe,1532
WarBean,North America,1532
crave.,North America,1532
nessCoff.,North America,1532
Walcott,Oceania,1532
Arya^_^,India,1532
Magu,Europe,1531
.ZPS,North America,1531
JWismont,North America,1531
Roll Dizz,North America,1531
plip,North America,1531
Amphis,Oceania,1531
! Zez0nix,Saudi Arabia,1531
RelatingWave,Europe,1530
Relatingwave,Europe,1530
Cobbo,Oceania,1530
gian,South America,1530
Nachitow,Europe,1529
PeaKy!,Europe,1529
itachi,Europe,1529
rehzzy,Europe,1529
Kevin07,Oceania,1529
Lex,South America,1529
ripoopi,Indonesia,1529
B-Lain,Japan,1529
M0nkey M00n,Europe,1528
Yukiss,Europe,1528
Inferno 0,Europe,1527
Makuhebi,Europe,1527
"Comm""!",North America,1527
Wonder,North America,1527
.Trey,North America,1527
ReaLize,Japan,1527
dave,Europe,1526
Aris,North America,1526
"Turinturo,",North America,1526
droppz,South America,1526
res,Indonesia,1526
Godsmilla,Europe,1525
Arsenal,North America,1525
Burn,Japan,1525
Rexo,Europe,1524
Retra,Japan,1524
Justuszzz,Europe,1523
Seb/-\da/\/\,Europe,1523
BeastMode,North America,1523
brad,South America,1523
Chausette45,Europe,1522
Mout,Europe,1522
TopCheese,North America,1522
junglies,North America,1522
SSteve,Oceania,1522
Asphyx.,India,1522
akikansu,Japan,1522
GoochRL,Europe,1521
radosin75,Europe,1521
oaly,Europe,1521
allushin,North America,1521
cavemanben,Oceania,1521
ballerrees,Singapore,1521
Demo,North America,1520
Pirates,North America,1520
Negative,Oceania,1520
Glowz,Saudi Arabia,1520
Shoe,Oceania,1519
Sharath.,India,1519
Eckhard,Europe,1518
Zamue,Europe,1518
Cruzza,Oceania,1518
matix,South America,1518
cal,Europe,1517
parka.,Europe,1517
Shadow.,North America,1517
Comm,North America,1517
WEAGLE,Japan,1517
Tynottyler,North America,1516
Jordan,North America,1516
jacob,North America,1516
womped,Europe,1515
Ahduhm,North America,1515
Sadness,South America,1515
Tenhow,Japan,1515
Yukeo,Europe,1514
mectos,North America,1514
Haru,Japan,1514
Jbot,North America,1513
change,Oceania,1513
BoyScHool Q,Europe,1512
SamCynical,Europe,1511
Zaphare,Europe,1511
billy,Europe,1511
primethunder,North America,1511
valtsssv,South America,1511
Bacon,North America,1510
Jacob,North America,1510
plipington,North America,1510
vortexioz,Oceania,1510
Pedrinho  ,South America,1510
LiFox,Europe,1509
cloud,Europe,1509
grumpz.,South America,1509
Taroco.,North America,1508
SPYDOGE,Oceania,1508
Le Duck,Oceania,1508
Gekk,Europe,1507
Oscillon,Europe,1507
Rix_Ronday,Europe,1507
Drippay,Oceania,1507
HAZA,Oceania,1507
*' cavemanben,Oceania,1507
RevogaS,South America,1507
EviL97,Saudi Arabia,1507
ZamuAA,Europe,1506
Forece,Europe,1506
Satthew,North America,1506
Ty,North America,1506
mikan,Japan,1506
Tjester,Europe,1505
Buddy,North America,1505
Turbopolsa,North America,1505
satthew,North America,1505
PJ,South America,1505
ajg,South America,1505
caiotg1,South America,1505
math,South America,1505
big.,Europe,1504
Talliebird,North America,1504
Flasheeyy,South America,1504
ClayX,Europe,1503
Eversax,Europe,1503
Sebadam,Europe,1502
tcorrell.,North America,1502
Joreuz,Europe,1501
Yukiss08,Europe,1501
Noxes,North America,1501
Maadzz,Europe,1500
Mognus,Europe,1500
ZhearX.,South America,1500
Tenon,Japan,1500
torment,North America,1499
zenulous,Oceania,1499
Dark,North America,1498
Porklet,North America,1498
Express,Oceania,1498
Gooch,Europe,1497
MD,Europe,1497
Lubby,North America,1497
.saucy,North America,1496
Paarth,North America,1496
Hyderr,Europe,1495
Brisky,North America,1495
ostyn,North America,1495
repi,South America,1495
Nemoto Putti,Japan,1494
Metsanauris,Europe,1493
TURBOPOLSA,North America,1493
Timii lft,Oceania,1493
wells,South America,1493
Alexandre,Japan,1493
Requiem,Oceania,1492
noly,Europe,1491
kinseh,North America,1491
jocse.,India,1491
LEGEND.,Saudi Arabia,1491
Jarel,Singapore,1491
JPow,North America,1490
Krilin,Japan,1490
Shock,North America,1489
AKKINN,Japan,1489
Cynical,Europe,1488
Wolf.,Europe,1488
LeoDkn,South America,1487
Freecant,Europe,1485
delta,North America,1485
jordan,North America,1485
Samuel,Oceania,1485
UmBroken,South America,1485
tander,South America,1484
XI,North America,1483
240hzisty,Oceania,1483
String,Oceania,1483
hockE,North America,1482
Tigreee,Europe,1481
sharp,North America,1481
Bambii,North America,1481
ejby,Europe,1480
yeatzy,Oceania,1480
CJM,Oceania,1479
Zukoe,Oceania,1479
Gib,North America,1478
Enlid,Europe,1477
Scarth,Oceania,1477
Skillz.,North America,1475
money,North America,1475
Stake,Europe,1474
StakeMBP,Europe,1474
finn,Oceania,1474
Rizex45,Europe,1473
Nadr,Saudi Arabia,1473
ASN_RuBiiX,Europe,1472
pryyme,Europe,1472
AYYJAYY,North America,1472
Bambii :),North America,1471
Rizual,Europe,1469
Zeddo,Europe,1468
Garenn,North America,1468
caard,South America,1468
Kanra,Japan,1468
masa,Japan,1468
