Team,Average speed
SANDROCK GAMING,1634
REDEMPTION,1591
EMPTY,1589
FALCON ESPORTS,1584
FALCONS ESPORTS,1572
ERUPTION,1568
NAMELESS,1554
THE ULTIMATES,1552
THE FLAME,1500
