Player,Average speed
Ahmad,1703
Twiz,1657
trk511,1621
Yahya,1617
Senzo,1604
T7LM,1602
TiWakeZ,1594
oKhaliD,1594
Slm 77,1590
Ali,1584
Impressive,1578
crespor,1578
Twty,1575
! M7sn,1574
Faisal,1563
Abdulaziz,1553
ams.,1550
B2seL,1539
Smw.,1533
Venom,1533
! Zez0nix,1531
Glowz,1520
EviL97,1507
LEGEND.,1491
Nadr,1473
