Team,Average speed
ATYPICAL,1654
REBEL,1625
NOBLE,1608
TEAM DGENERATION,1602
SOBERANO ESPORTS,1586
NOCTURNS,1584
LYCUS EMPIRE,1577
THE THIRD EYE,1576
WRIGHT LIGHT,1566
AVIDITY ESPORTS,1561
TRUE NEUTRAL,1559
CARNAGE GAMING,1550
EUPHORIA,1550
PDHM GAMING,1534
THE THREE SINS,1511
NOT EXPOSED,1508
NO MERCY ESPORTS,1506
LEGACY,1497
CATALYST,1495
NOVUS AEVI,1494
ERA ETERNITY,1488
ELLEVENS,1477
