Player,Average speed
Nog,1675
squirrel,1648
Gon,1615
The Optimistic Noob,1591
Rafdoang13,1578
Micho,1570
Ficeo,1557
ClaruS,1548
Ridz,1540
ripoopi,1529
res,1526
Hasyimf,1464
