Player,Average speed
dan.,1685
LCT,1612
Maxeew,1610
AiZn21,1600
Fortymula7,1595
Squigly :3,1581
ZiNX,1572
Poofy,1547
Claw-Z,1539
Kaizen,1535
ballerrees,1521
Jarel,1491
