Team,Average speed
TEAM FENRIR,1604
RENEGADES,1585
CRINGE SOCIETY,1570
TEAM PROCESS,1565
TEAM FEROX,1558
FURY,1550
VORT CENTRAL,1545
APPLES ARE SOUR,1542
SOLICIT,1537
GROUND ZERO,1535
COWABUNGA,1535
SKYFIRE ESPORTS,1533
MINDFREAK,1533
CANBERRA HAVOC,1532
R!OT,1515
SOUTHERN STARS,1511
GAMING GAMERS,1508
GU,1507
HAZARD ESPORTS,1507
1NE ESPORTS,1505
DIRE WOLVES,1492
